Year ,District,PPM
2018,Tiruvannamalai,30.7
2018,Tiruvannamalai,30.7
2018,Tiruvannamalai,30.7
2018,Tiruvannamalai,0.0
2018,Tiruvannamalai,0.0
2018,Tiruvannamalai,33.9
2018,Tiruvannamalai,41.3
2018,Tiruvannamalai,42.3
2018,Tiruvannamalai,25.4
2018,Tiruvannamalai,25.4
2018,Tiruvarur,33.9
2018,Tiruvarur,21.2
2018,Tiruvarur,37.0
2018,Tiruvarur,38.1
2018,Tiruvarur,36.0
2018,Tiruvarur,26.5
2018,Tiruvarur,7.4
2018,Tiruvarur,38.1
2018,Tiruvarur,44.4
2018,Tiruvarur,38.1
2018,Tiruvarur,44.4
2018,Tiruvarur,23.3
2018,Tiruvarur,19.0
2018,Tiruvarur,14.8
2018,Tiruvarur,42.3
2018,Tiruvarur,44.4
2018,Tiruvarur,39.1
2018,Tiruvarur,6.3
2018,Tiruvarur,34.9
2018,Tiruvarur,38.1
2018,Tiruvarur,41.3
2018,Tiruvarur,60.3
2018,Tiruvarur,30.7
2018,Tiruvarur,23.3
2018,Tiruvarur,28.6
2018,Tiruvarur,40.2
2018,Tiruvarur,32.8
2018,Tiruvarur,31.7
2018,Tiruvarur,34.9
2018,Tiruvarur,37.0
2018,Tiruvarur,34.9
2018,Tiruvarur,40.2
2018,Tiruvarur,29.6
2018,Tiruvarur,32.8
2018,Tuticorin,36.0
2018,Tuticorin,9.5
2018,Tuticorin,34.9
2018,Tuticorin,36.0
2018,Tuticorin,3.2
2018,Tuticorin,29.6
2018,Tuticorin,6.3
2018,Tuticorin,7.4
2018,Tuticorin,25.4
2018,Tuticorin,24.3
2018,Tuticorin,4.2
2018,Tuticorin,8.5
2018,Tuticorin,24.3
2018,Tuticorin,36.0
2018,Tuticorin,33.9
2018,Tuticorin,27.5
2018,Tuticorin,34.9
2018,Tuticorin,0.0
2018,Tuticorin,47.6
2018,Tuticorin,32.8
2018,Tuticorin,39.1
2018,Tuticorin,26.5
2018,Tuticorin,19.0
2018,Tuticorin,33.9
2018,Tuticorin,13.8
2018,Tuticorin,38.1
2018,Tuticorin,21.2
2018,Tuticorin,32.8
2018,Tuticorin,50.8
2018,Vellore,25.4
2018,Vellore,60.3
2018,Vellore,33.9
2018,Vellore,36.0
2018,Vellore,39.1
2018,Vellore,0.0
2018,Vellore,27.5
2018,Vellore,24.3
2018,Vellore,33.9
2018,Vellore,37.0
2018,Vellore,6.3
2018,Vellore,44.4
2018,Vellore,37.0
2018,Vellore,0.0
2018,Vellore,37.0
2018,Vellore,16.9
2018,Vellore,36.0
2018,Vellore,0.0
2018,Vellore,4.2
2018,Vellore,32.8
2018,Vellore,20.1
2018,Vellore,25.4
2018,Vellore,0.0
2018,Vellore,26.5
2018,Vellore,45.5
2018,Vellore,42.3
2018,Vellore,46.6
2018,Vellore,34.9
2018,Vellore,41.3
2018,Vellore,6.3
2018,Vellore,30.7
