Salt Type,Brand,PPM
Refined,Priyam,24.3
Crystal,MV,29.6
Crystal,Golden Traders,0.0
Crystal,Golden Traders,0.0
Refined,Winner,23.3
Refined,New Winner ,16.9
Refined,New Priyam,37.0
Crystal,Surya,0.0
Refined,Patanjali,21.2
Refined,Priyam,25.4
Crystal,Tata,30.7
Refined,sarvana,33.9
Refined,Spinkle,43.4
Refined,Sprinkle,58.2
Crystal,Kristal,33.9
Crystal,True,31.7
Refined,Patanjali,42.3
Refined,Kristal,30.7
Refined,Saravana,29.6
Crystal,Muthu Kamatchi,34.9
Refined,Data chemical,0.0
Crystal,Ganesh,0.0
Refined,Sri Chairman,29.6
Crystal,Ganesh,0.0
Crystal,Sri Chairman,34.9
Crystal,Brillaint,41.3
Crystal,Selva Lakshmi,6.3
Crystal,Ganesh,7.4
Crystal,Veppalodai,38.1
Crystal,Sakthi,24.3
Refined,Tata,36.0
Refined,Tata,32.8
Refined,Sprinkle,42.3
Refined,I-Sakthi,19.0
Refined,Arun Classic,30.7
Crystal,Arun Classic,13.8
Refined,VKS tru,32.8
Refined,VKS Adithiya,13.8
Crystal,Sri Vijayam,14.8
Refined,Sea Sun,26.5
Refined,I-Gold,34.9
Refined,Tata,38.1
Crystal,Solar White Gold,31.7
Powder,Sun Pure,28.6
Refined,Solar White Gold,29.6
Refined,Tata,42.3
Refined,Udhayam,16.9
Crystal,Sakthi,21.2
Crystal,Rajapurna,40.2
Crystal,Mani,10.6
